word,prompt
valentine,"Transparent square PNG image of valentine, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
vampire,"Transparent square PNG image of vampire, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
video,"Transparent square PNG image of video, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
volcano,"Transparent square PNG image of volcano, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
wafer,"Transparent square PNG image of wafer, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
wigwam,"Transparent square PNG image of wigwam, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
windmill,"Transparent square PNG image of windmill, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
wingnut,"Transparent square PNG image of wingnut, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
wishbone,"Transparent square PNG image of wishbone, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
wombat,"Transparent square PNG image of wombat, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
zigzag,"Transparent square PNG image of zigzag, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
